date,tempC,tempF,humid,heatindex
20110718,28.6,83.4,64.4,30.94
20110719,28.5,83.3,55.5,29.63
20110720,27.6,81.7,51.1,28.14
20110721,27.1,80.8,48.8,27.43
20110722,24.3,75.7,67.6,24.26
20110723,25.5,77.9,75.9,25.5
20110724,24.9,76.8,80.6,24.89
20110725,24.9,76.8,85,24.88
20110726,25,77,81,25
20110727,23.7,74.7,92.4,23.72
20110728,24.5,76.1,89.2,24.51
20110729,26.1,79,82.3,26.1
20110730,27,80.6,76.3,29.43
20110731,25,76.9,86.7,24.95
20110801,25.5,77.8,82.6,25.45
20110802,26.2,79.2,77.6,26.2
20110803,25.5,77.8,81.6,25.45
20110804,25.4,77.7,87.3,25.36
20110805,28.6,83.4,69.6,31.7
20110806,28.5,83.4,66.9,31.26
20110807,28.8,83.9,63.3,31.27
20110808,24.8,76.7,83.5,24.82
20110809,26,78.7,76.1,25.97
20110810,25.7,78.2,81.3,25.66
20110811,26.6,79.9,79.3,26.61
20110812,25.4,77.7,86.6,25.4
20110813,25.2,77.3,85,25.19
20110814,25,76.9,86.7,24.95
20110815,24.5,76.1,86.7,24.49
20110816,25,77,87.3,24.98
20110817,23.8,74.9,91.8,23.85
20110818,25,77,74.6,24.98
20110819,24.5,76.1,75.6,24.51
20110820,23.4,74.1,75.8,23.36
20110821,24.2,75.5,67.8,24.18
20110822,23.8,74.9,71.8,23.85
20110823,24,75.3,62.1,24.03
20110824,24.7,76.5,57.6,24.73
20110825,25.6,78.1,56.8,25.62
20110826,26.5,79.7,57.3,26.49
20110827,27.5,81.5,59.9,28.74
20110828,27.5,81.5,64.8,29.18
20110829,26.8,80.2,74.6,28.85
20110830,27,80.6,71.9,29.05
20110831,27.8,82.1,63.1,29.5
20110901,27,80.6,63,28.31
20110902,27.1,80.8,57.8,28.06
20110903,25.1,77.1,50.8,25.07
20110904,23.7,74.7,46.9,23.73
20110905,23.7,74.6,53.9,23.69
20110906,23.5,74.2,53.5,23.45
20110907,22.5,72.4,51.3,22.46
20110908,22.4,72.4,53.6,22.44
20110909,19.9,67.8,75.3,19.91
20110910,21.4,70.4,69.8,21.35
20110911,21.2,70.1,75.4,21.18
20110912,23.2,73.8,70.3,23.23
20110913,24.8,76.7,52.6,24.83
20110914,24.4,76,69.1,24.45
20110915,25.6,78.1,68.1,25.61
20110916,25.5,77.9,69.1,25.5
20110917,25.9,78.7,65.8,25.93
20110918,21.3,70.3,64.8,21.3
20110919,17.1,62.8,55.4,17.11
20110920,17.5,63.4,46.3,17.46
20110921,18,64.3,44.2,17.97
20110922,18,64.4,48.8,18.02
20110923,19.5,67,49.5,19.45
20110924,19.6,67.2,55.2,19.55
20110925,19.8,67.7,61.5,19.83
20110926,21.1,70,54.2,21.13
20110927,21.8,71.2,41.5,21.78
20110928,19.7,67.5,51.5,19.7
20110929,17.1,62.8,81.7,17.13
20110930,15.3,59.5,51.8,15.28
20111001,12.5,54.4,49.7,12.47
20111002,13.3,55.9,42.8,13.3
20111003,13.7,56.7,43.5,13.7
20111004,14.6,58.3,47.1,14.6
20111005,16.3,61.3,50.2,16.28
20111006,16.8,62.2,53.8,16.77
20111007,15.3,59.6,56.1,15.34
20111008,16.1,60.9,57.3,16.07
20111009,16.5,61.6,58.2,16.45
20111010,17,62.5,67.7,16.95
20111011,16.8,62.2,60.8,16.8
20111012,14.5,58,53.4,14.46
20111013,16.5,61.7,51.4,16.48
20111014,14.6,58.3,76.9,14.61
20111015,12.9,55.1,86.3,12.86
20111016,14.8,58.6,64.6,14.79
20111017,11.6,52.9,36.8,11.64
20111018,9.3,48.8,35.5,9.34
20111019,12.4,54.3,43.4,12.41
20111020,15.3,59.5,52.2,15.28
20111021,16.9,62.4,53.9,16.89
20111022,17.5,63.5,57.8,17.5
20111023,16.4,61.5,66,16.38
20111024,12.9,55.3,73.6,12.93
20111025,7.6,45.6,37.3,7.57
20111026,9.4,48.8,41.9,9.35
20111027,12.4,54.3,43.3,12.39
20111028,14.5,58.1,49.9,14.48
20111029,12.2,53.9,76.4,12.15
20111030,14.8,58.6,57.9,14.77
20111031,14.8,58.7,43.4,14.83
20111101,15.9,60.5,45.2,15.85
20111102,16.5,61.7,45.3,16.52
20111103,16.6,61.8,48.7,16.58
20111104,18.3,65,65.2,18.32
20111105,19.8,67.6,69.6,19.76
20111106,15.2,59.4,77,15.24
20111107,15,59.1,68.6,15.03
20111108,14.8,58.6,67.4,14.78
20111109,14.7,58.5,58.8,14.74
20111110,13.8,56.9,55.8,13.82
20111111,12.8,55.1,68.4,12.83
20111112,12,53.7,66.5,12.03
20111113,11.9,53.5,54.1,11.94
20111114,6.4,43.6,39.3,6.44
20111115,7.1,44.9,41.8,7.14
20111116,10.5,51,50.8,10.53
20111117,13.3,55.9,53.3,13.3
20111118,14.1,57.5,77.3,14.15
20111119,11.6,52.9,74.6,11.63
20111120,0.7,33.2,40.6,0.69
20111121,1.4,34.4,39.5,1.35
20111122,5.3,41.5,52,5.28
20111123,3.6,38.4,67.9,3.55
20111124,-1.7,29,45.5,-1.68
20111125,2.7,36.8,48.4,2.65
20111126,5,41,56.6,5
20111127,13,55.4,71,12.99
20111128,14.8,58.6,82.2,14.79
20111129,11.7,53.1,88.5,11.72
20111130,5.2,41.3,83.1,5.16
20111201,5.9,42.6,55.7,5.88
20111202,5.4,41.7,57.1,5.36
20111203,5.5,41.8,74.8,5.47
20111204,2.9,37.1,53,2.85
20111205,1.2,34.2,36.5,1.2
20111206,3.8,38.8,37.5,3.76
20111207,3.9,39,58.6,3.91
20111208,0.7,33.2,60.9,0.65
20111209,-2.6,27.3,53.1,-2.59
20111210,-1.9,28.6,47.3,-1.91
20111211,2.3,36.2,63,2.33
20111212,3.9,39.1,56.7,3.93
20111213,1.4,34.6,43.7,1.44
20111214,2.5,36.4,59.5,2.45
20111215,-3.5,25.7,40.7,-3.49
20111216,-6.7,20,37.4,-6.69
20111217,-6.3,20.7,46,-6.28
20111218,-2.2,28.1,46.7,-2.18
20111219,-2.6,27.4,38.4,-2.58
20111220,-0.6,31,39.9,-0.56
20111221,1.8,35.3,62.7,1.83
20111222,-4.7,23.6,35.1,-4.68
20111223,-5.8,21.5,38.6,-5.83
20111224,-4.8,23.3,57.7,-4.84
20111225,-7.1,19.2,36.2,-7.09
20111226,-7.2,19,30.8,-7.23
20111227,-4.4,24,35.3,-4.44
20111228,-0.9,30.4,62.5,-0.88
20111229,-1.2,29.9,66.7,-1.16
20111230,-3.2,26.3,67.3,-3.15
20111231,-2.2,28.1,66.8,-2.19
20120101,-2.4,27.7,64.7,-2.36
20120102,-5,23,66,-4.98
20120103,-4.5,23.9,68.7,-4.48
20120104,-7.2,19,55.5,-7.24
20120105,-6,21.2,50.7,-5.98
20120106,-2.6,27.3,43.8,-2.63
20120107,-3.8,25.2,45.7,-3.76
20120108,-2.7,27.2,52.3,-2.66
20120109,-0.4,31.4,65.5,-0.35
20120110,-2.4,27.8,55.6,-2.35
20120111,-5.7,21.7,43.3,-5.7
20120112,-5,23,54.4,-5.02
20120113,-0.9,30.3,53.5,-0.93
20120114,-1.8,28.8,48.7,-1.78
20120115,-2.3,27.9,45.8,-2.3
20120116,0.6,33.1,43.9,0.59
20120117,3,37.4,48.9,2.98
20120118,1.2,34.1,40.7,1.17
20120119,4.9,40.9,52,4.94
20120120,5.5,42,61.8,5.53
20120121,3,37.4,59.8,3.01
20120122,-6.9,19.5,38.7,-6.92
20120123,-9.6,14.7,34.5,-9.63
20120124,-7.6,18.3,35,-7.63
20120125,-8.1,17.5,43.7,-8.08
20120126,-3.4,25.9,52.5,-3.4
20120127,-0.9,30.4,67.1,-0.88
20120128,-1.8,28.8,24.8,-1.78
20120129,-2.6,27.4,23.7,-2.55
20120130,-5.5,22.2,23.3,-5.47
20120131,-4.7,23.5,46.7,-4.71
20120201,-12.2,10,48.3,-12.21
20120202,-13.8,7.2,44,-13.76
20120203,-9.2,15.5,51.6,-9.18
20120204,-3,26.7,51.7,-2.96
20120205,-1,30.2,34.6,-1.02
20120206,0.8,33.4,46.9,0.77
20120207,-7.8,18.1,45,-7.75
20120208,-8.4,17,39,-8.35
20120209,-4.7,23.5,49.6,-4.72
20120210,-3.1,26.4,44.7,-3.12
20120211,-4.3,24.3,40,-4.26
20120212,-0.4,31.3,39.1,-0.37
20120213,3.2,37.7,23.8,3.19
20120214,3.2,37.7,46.6,3.17
20120215,-0.9,30.3,34.3,-0.93
20120216,-2.6,27.4,31.5,-2.57
20120217,-6.1,21,33.4,-6.11
20120218,-6.8,19.7,38.5,-6.82
20120219,-4.8,23.4,39.3,-4.8
20120220,-0.6,30.9,56.1,-0.63
20120221,2.1,35.8,60.9,2.1
20120222,5.2,41.4,47.6,5.24
